model_name,dataset_name,vector_name,hyperparameter_name,hyperparameter_value,metric_name,metric_value
svc,dev,tfidf,c,0.1,binary_recall,0.8298611111111112
svc,dev,tfidf,c,0.1,binary_precision,0.8819188191881919
svc,dev,tfidf,c,0.1,binary_f1,0.855098389982111
mlp,dev,tfidf,alpha,0.0001,true_positives,495.0
mlp,dev,tfidf,alpha,0.0001,false_positives,64.0
mlp,dev,tfidf,alpha,0.0001,true_negatives,753.0
mlp,dev,tfidf,alpha,0.0001,false_negatives,81.0
mlp,dev,tfidf,alpha,0.0001,accuracy,0.8959081119885139
mlp,dev,tfidf,alpha,0.0001,macro_recall,0.8905198133414933
mlp,dev,tfidf,alpha,0.0001,macro_precision,0.8941937684199689
mlp,dev,tfidf,alpha,0.0001,macro_f1,0.8922105678843686
mlp,dev,tfidf,alpha,0.0001,micro_recall,0.8959081119885139
mlp,dev,tfidf,alpha,0.0001,micro_precision,0.8959081119885139
mlp,dev,tfidf,alpha,0.0001,micro_f1,0.8959081119885139
mlp,dev,tfidf,alpha,0.0001,binary_recall,0.859375
mlp,dev,tfidf,alpha,0.0001,binary_precision,0.8855098389982111
mlp,dev,tfidf,alpha,0.0001,binary_f1,0.8722466960352423
decisiontree,dev,tfidf,maxdepth,50,true_positives,456.0
decisiontree,dev,tfidf,maxdepth,50,false_positives,77.0
decisiontree,dev,tfidf,maxdepth,50,true_negatives,740.0
decisiontree,dev,tfidf,maxdepth,50,false_negatives,120.0
decisiontree,dev,tfidf,maxdepth,50,accuracy,0.8585786073223259
decisiontree,dev,tfidf,maxdepth,50,macro_recall,0.8487097103223173
decisiontree,dev,tfidf,maxdepth,50,macro_precision,0.8579999127361577
decisiontree,dev,tfidf,maxdepth,50,macro_f1,0.8524454065586868
decisiontree,dev,tfidf,maxdepth,50,micro_recall,0.8585786073223259
decisiontree,dev,tfidf,maxdepth,50,micro_precision,0.8585786073223259
decisiontree,dev,tfidf,maxdepth,50,micro_f1,0.8585786073223259
decisiontree,dev,tfidf,maxdepth,50,binary_recall,0.7916666666666666
decisiontree,dev,tfidf,maxdepth,50,binary_precision,0.8555347091932458
decisiontree,dev,tfidf,maxdepth,50,binary_f1,0.8223624887285843
svc,train,count,c,4,true_positives,2685.0
svc,train,count,c,4,false_positives,0.0
svc,train,count,c,4,true_negatives,3812.0
svc,train,count,c,4,false_negatives,0.0
svc,train,count,c,4,accuracy,1.0
svc,train,count,c,4,macro_recall,1.0
svc,train,count,c,4,macro_precision,1.0
svc,train,count,c,4,macro_f1,1.0
svc,train,count,c,4,micro_recall,1.0
svc,train,count,c,4,micro_precision,1.0
svc,train,count,c,4,micro_f1,1.0
svc,train,count,c,4,binary_recall,1.0
svc,train,count,c,4,binary_precision,1.0
svc,train,count,c,4,binary_f1,1.0
svc,dev,count,c,0.5,true_positives,488.0
svc,dev,count,c,0.5,false_positives,49.0
svc,dev,count,c,0.5,true_negatives,768.0
svc,dev,count,c,0.5,false_negatives,88.0
svc,dev,count,c,0.5,accuracy,0.9016511127063892
svc,dev,count,c,0.5,macro_recall,0.8936233510131919
svc,dev,count,c,0.5,macro_precision,0.902974294714492
svc,dev,count,c,0.5,macro_f1,0.8975102158965742
svc,dev,count,c,0.5,micro_recall,0.9016511127063892
svc,dev,count,c,0.5,micro_precision,0.9016511127063892
svc,dev,count,c,0.5,micro_f1,0.9016511127063892
svc,dev,count,c,0.5,binary_recall,0.8472222222222222
svc,dev,count,c,0.5,binary_precision,0.9087523277467412
svc,dev,count,c,0.5,binary_f1,0.8769092542677448
decisiontree,dev,count,maxdepth,10,true_positives,415.0
decisiontree,dev,count,maxdepth,10,false_positives,49.0
decisiontree,dev,count,maxdepth,10,true_negatives,768.0
decisiontree,dev,count,maxdepth,10,false_negatives,161.0
decisiontree,dev,count,maxdepth,10,accuracy,0.8492462311557789
decisiontree,dev,count,maxdepth,10,macro_recall,0.8302552954576363
decisiontree,dev,count,maxdepth,10,macro_precision,0.8605459615455997
decisiontree,dev,count,maxdepth,10,macro_f1,0.8389010044937881
decisiontree,dev,count,maxdepth,10,micro_recall,0.8492462311557789
decisiontree,dev,count,maxdepth,10,micro_precision,0.8492462311557789
decisiontree,dev,count,maxdepth,10,micro_f1,0.8492462311557789
decisiontree,dev,count,maxdepth,10,binary_recall,0.7204861111111112
decisiontree,dev,count,maxdepth,10,binary_precision,0.8943965517241379
decisiontree,dev,count,maxdepth,10,binary_f1,0.7980769230769231
decisiontree,dev,count,maxdepth,100,true_positives,474.0
decisiontree,dev,count,maxdepth,100,false_positives,79.0
decisiontree,dev,count,maxdepth,100,true_negatives,738.0
decisiontree,dev,count,maxdepth,100,false_negatives,102.0
decisiontree,dev,count,maxdepth,100,accuracy,0.8700646087580761
decisiontree,dev,count,maxdepth,100,macro_recall,0.8631107201142391
decisiontree,dev,count,maxdepth,100,macro_precision,0.8678571428571429
decisiontree,dev,count,maxdepth,100,macro_f1,0.8652237895649506
decisiontree,dev,count,maxdepth,100,micro_recall,0.8700646087580761
decisiontree,dev,count,maxdepth,100,micro_precision,0.8700646087580761
decisiontree,dev,count,maxdepth,100,micro_f1,0.8700646087580761
decisiontree,dev,count,maxdepth,100,binary_recall,0.8229166666666666
decisiontree,dev,count,maxdepth,100,binary_precision,0.8571428571428571
decisiontree,dev,count,maxdepth,100,binary_f1,0.8396811337466784
mlp,dev,count,alpha,10,true_positives,379.0
mlp,dev,count,alpha,10,false_positives,78.0
mlp,dev,count,alpha,10,true_negatives,739.0
mlp,dev,count,alpha,10,false_negatives,197.0
mlp,dev,count,alpha,10,accuracy,0.8025843503230438
mlp,dev,count,alpha,10,macro_recall,0.7812574374405006
mlp,dev,count,alpha,10,macro_precision,0.8094257887748041
mlp,dev,count,alpha,10,macro_f1,0.7884555807800651
mlp,dev,count,alpha,10,micro_recall,0.8025843503230438
mlp,dev,count,alpha,10,micro_precision,0.8025843503230438
mlp,dev,count,alpha,10,micro_f1,0.8025843503230438
mlp,dev,count,alpha,10,binary_recall,0.6579861111111112
mlp,dev,count,alpha,10,binary_precision,0.8293216630196937
mlp,dev,count,alpha,10,binary_f1,0.7337850919651501
svc,dev,count,c,10,true_positives,483.0
svc,dev,count,c,10,false_positives,54.0
svc,dev,count,c,10,true_negatives,763.0
svc,dev,count,c,10,false_negatives,93.0
svc,dev,count,c,10,accuracy,0.8944723618090452
svc,dev,count,c,10,macro_recall,0.8862230977152182
svc,dev,count,c,10,macro_precision,0.8953982404845193
svc,dev,count,c,10,macro_f1,0.8900292097576379
svc,dev,count,c,10,micro_recall,0.8944723618090452
svc,dev,count,c,10,micro_precision,0.8944723618090452
svc,dev,count,c,10,micro_f1,0.8944723618090452
svc,dev,count,c,10,binary_recall,0.8385416666666666
svc,dev,count,c,10,binary_precision,0.8994413407821229
svc,dev,count,c,10,binary_f1,0.8679245283018868
svc,dev,count,c,1,true_positives,486.0
svc,dev,count,c,1,false_positives,50.0
svc,dev,count,c,1,true_negatives,767.0
svc,dev,count,c,1,false_negatives,90.0
svc,dev,count,c,1,accuracy,0.8994974874371859
svc,dev,count,c,1,macro_recall,0.8912752447980417
svc,dev,count,c,1,macro_precision,0.9008494574966476
svc,dev,count,c,1,macro_f1,0.8952343501542852
svc,dev,count,c,1,micro_recall,0.8994974874371859
svc,dev,count,c,1,micro_precision,0.8994974874371859
svc,dev,count,c,1,micro_f1,0.8994974874371859
svc,dev,count,c,1,binary_recall,0.84375
svc,dev,count,c,1,binary_precision,0.9067164179104478
svc,dev,count,c,1,binary_f1,0.8741007194244603
mlp,dev,count,alpha,1,true_positives,496.0
mlp,dev,count,alpha,1,false_positives,55.0
mlp,dev,count,alpha,1,true_negatives,762.0
mlp,dev,count,alpha,1,false_negatives,80.0
mlp,dev,count,alpha,1,accuracy,0.9030868628858578
mlp,dev,count,alpha,1,macro_recall,0.8968958248334014
mlp,dev,count,alpha,1,macro_precision,0.9025848058593532
mlp,dev,count,alpha,1,macro_f1,0.8994193164332326
mlp,dev,count,alpha,1,micro_recall,0.9030868628858578
mlp,dev,count,alpha,1,micro_precision,0.9030868628858578
mlp,dev,count,alpha,1,micro_f1,0.9030868628858578
mlp,dev,count,alpha,1,binary_recall,0.8611111111111112
mlp,dev,count,alpha,1,binary_precision,0.9001814882032668
mlp,dev,count,alpha,1,binary_f1,0.8802129547471162
svc,train,count,c,2,true_positives,2685.0
svc,train,count,c,2,false_positives,1.0
svc,train,count,c,2,true_negatives,3811.0
